Datenum,Lon,Lat,Rad_max,Rad_out,Vel_Azimuth
738171,9.92914767332014,-32.7954724495439,50.6600535738207,74.0428615844415,-0.39083414554567
738172,9.80750331646905,-32.8450590532581,40.0298425427743,73.0363061587555,-0.415027608907534
738173,9.73809444658315,-32.8478961668399,45.2236346117181,73.1509910754503,-0.43043956449088
738174,9.65890254642502,-32.8784758971546,38.0707548802762,78.9056207250909,-0.451763861924882
738175,9.60290883321486,-32.8776628824885,45.0404220836083,78.9698574027409,-0.470409790738452
738176,9.52712597192358,-32.9031388169103,41.8733319640207,80.1151717954871,-0.469391240054358
738177,9.46756678890059,-32.9270177040139,38.6351645881908,83.2059566392475,-0.45786657822442
738178,9.41172839579042,-32.9644372036247,44.2042305695024,86.8310824621382,-0.460976929577597
738179,9.35318699863818,-33.0037185746825,43.8805657667196,91.0675130228548,-0.456974590393567
738180,9.27463591966994,-33.031582419902,46.0070025120679,94.7665591469312,-0.458187950066101
738181,9.19459180849657,-33.0528671836642,45.7342286230651,98.7264253884668,-0.456136232021579
738182,9.11233074280773,-33.070797175894,49.4543222986343,98.3405797014792,-0.477951281648309
738183,9.07304913231748,-33.095167410112,48.4553185671942,95.0587561713225,-0.4850070452396
738184,9.03424106374198,-33.1230308535991,51.3384995900944,94.0066860353832,-0.489959153410091
738185,8.99194174400248,-33.1286736352026,58.5937256482477,92.3954250290494,-0.484997653187671
738186,8.94202185530198,-33.1600370347257,53.5049217308369,93.8761980062639,-0.497409983912012
738187,8.89694764331167,-33.1835272928362,53.196131076493,92.2420003061354,-0.488097689028084
738188,8.86020742778772,-33.2205072899274,51.1299568746023,90.8713565016849,-0.498761975846082
738189,8.83024059369975,-33.2426339954543,52.227451800486,87.6234230851262,-0.505157113216938
738190,8.78879911865141,-33.2687314915195,49.8339204057449,86.2171150955441,-0.504303995619156
738191,8.75243258141804,-33.2962504045085,50.9211697420369,84.9982929357889,-0.492724166946723
738192,8.7141090307326,-33.3203162583004,45.6389454690877,84.1439569500593,-0.485677422556084
738193,8.70074034329681,-33.3385635691923,47.6742779036452,84.1882807720245,-0.492495340867552
738194,8.67980086022856,-33.3522287054792,55.0973567065671,82.3109869511313,-0.496841570096725
738195,8.64081883269853,-33.3711488597742,48.9897454865535,85.2846054581434,-0.489090615321287
738196,8.61712961714501,-33.3821188434482,50.6558986936452,84.7285204792382,-0.487091022488153
738197,8.59248407983395,-33.4052388777133,52.8805945162328,84.3864616372604,-0.476525609024662
738198,8.5618685822107,-33.4156714189719,51.1355058007682,84.0111195588957,-0.468365206199333
738199,8.52220413602336,-33.4397824937414,50.7654488167281,85.6418352588193,-0.455502480315666
738200,8.47093089257033,-33.4697342946987,53.9663483887029,88.2000454577288,-0.456589740087283
738201,8.42709664594025,-33.4921483574474,50.0210117396775,89.5893955472724,-0.444787919068092
738202,8.40751411528628,-33.495798118561,48.1485124940108,91.5100764702593,-0.422699709681887
738203,8.34776264622021,-33.5182323143408,52.0598693215445,95.9534172329469,-0.42966059992463
738204,8.369137080015,-33.5169826926709,54.9532877706238,100.245002863549,-0.442350984392393
738205,8.33887262813511,-33.533039917035,54.580712277993,105.129959629713,-0.438058417650825
738206,8.33123892347158,-33.5487187460645,54.7795620169169,108.323732869331,-0.456547723372948
738207,8.32290558094021,-33.5553262336093,54.4418297648602,108.476623159961,-0.44044186718795
