pprojid	profileid	filename	date_time	latitude	longitude	psampleid	depth	watervolume	class01	class02	class03	class04	class05	class06	class07	class08	class09	class10	class11	class12	class13	class14	class15	class16	class18	class19	class20	class21	class22	class23	class24	class25	class26	class27	class28	class29	class30	class31	class32	class33	class34	class35	class36	class37	class38	class39	class40	class41	class42	class43	class44	class45	biovol01	biovol02	biovol03	biovol04	biovol05	biovol06	biovol07	biovol08	biovol09	biovol10	biovol11	biovol12	biovol13	biovol14	biovol15	biovol16	biovol17	biovol18	biovol19	biovol20	biovol21	biovol22	biovol23	biovol24	biovol25	biovol26	biovol27	biovol28	biovol29	biovol30	biovol31	biovol32	biovol33	biovol34	biovol35	biovol36	biovol37	biovol38	biovol39	biovol40	biovol41	biovol42	biovol43	biovol44	biovol45
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	359.1	12.0																	0	0	3983	169	109	35	18	5	0	0	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	360.5	12.0																	0	0	3815	151	98	35	4	6	4	2	0	1	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	363.1	12.0																	0	0	3933	133	78	45	15	8	0	2	0	0	1	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	355.2	12.0																	0	0	3866	138	74	40	7	5	1	0	1	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	352.1	12.0																	0	0	3857	154	92	61	7	3	0	0	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	357.6	12.0																	0	0	3802	139	86	49	9	3	0	0	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	354.2	12.0																	0	0	4031	157	83	47	19	4	6	2	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	347.5	12.0																	0	0	3966	134	92	54	12	1	1	1	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	352.0	12.0																	0	0	4031	145	71	35	6	4	3	0	0	0	1	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	354.9	12.0																	0	0	3867	139	72	34	9	4	3	1	0	1	1	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	360.7	12.0																	0	0	3947	142	78	56	11	3	0	0	0	2	0	0	0	0	0																																																								
